Percent,Real_Goal,Time,Cost,Prob,Results
10,6,247368700,17/17/17/204/17/17/23/17/,0.14888569295279702/0.14888569295279702/0.14888569295279702/4.581586063397333E-6/0.14888569295279702/0.14888569295279702/0.10668126069715443/0.14888569295279702/,0/1/2/4/5/7/
10,6,290409477,47/47/47/204/47/204/47/47/,0.16458332874461007/0.16458332874461007/0.16458332874461007/0.006250013766169709/0.16458332874461007/0.006250013766169709/0.16458332874461007/0.16458332874461007/,0/1/2/4/6/7/
30,0,230795937,63/63/63/63/63/23/27/63/63/23/,0.04530900228894553/0.04530900228894553/0.04530900228894553/0.04530900228894553/0.04530900228894553/0.23988806181554592/0.20306086034628953/0.04530900228894553/0.04530900228894553/0.23988806181554592/,5/9/
30,0,197869656,47/5039/5039/5039/5039/5039/5039/1033/1033/5039/,0.999999997601733/6.813556805204633E-46/6.813556805204633E-46/6.813556805204633E-46/6.813556805204633E-46/6.813556805204633E-46/6.813556805204633E-46/1.1991334463370917E-9/1.1991334463370917E-9/6.813556805204633E-46/,0/
30,0,158283635,23/270/270/5039/270/79/270/23/270/79/,0.4557649347464398/1.545705904229564E-5/1.545705904229564E-5/7.783845210557187E-92/1.545705904229564E-5/0.04419642260595444/1.545705904229564E-5/0.4557649347464398/1.545705904229564E-5/0.04419642260595444/,0/7/
30,1,160396705,1033/23/79/5039/27/23/27/79/1033/79/,1.3278052312426677E-19/0.2510116173957366/0.024341090495691706/4.28693703026323E-92/0.21247674686072593/0.2510116173957366/0.21247674686072593/0.024341090495691706/1.3278052312426677E-19/0.024341090495691706/,1/5/
30,1,178176535,1033/17/5039/5039/5039/47/17/17/1033/5039/,9.612838937975498E-26/0.31359015670293583/2.12912897936355E-122/2.12912897936355E-122/2.12912897936355E-122/0.059229529891192484/0.31359015670293583/0.31359015670293583/9.612838937975498E-26/2.12912897936355E-122/,1/6/7/
30,1,274686705,79/17/5039/5039/1033/1033/1033/79/79/5039/,0.029132541847158678/0.912602374458524/6.196138879245117E-122/6.196138879245117E-122/2.7975047853285076E-25/2.7975047853285076E-25/2.7975047853285076E-25/0.029132541847158678/0.029132541847158678/6.196138879245117E-122/,1/
30,2,134024991,204/204/204/204/23/204/204/204/204/204/,5.279917398418219E-4/5.279917398418219E-4/5.279917398418219E-4/5.279917398418219E-4/0.9952480743414237/5.279917398418219E-4/5.279917398418219E-4/5.279917398418219E-4/5.279917398418219E-4/5.279917398418219E-4/,4/
30,2,174653482,47/16/204/204/17/204/204/47/47/204/,0.06651579932500157/0.4119775736759138/6.487651913863077E-6/6.487651913863077E-6/0.3884425900895122/6.487651913863077E-6/6.487651913863077E-6/0.06651579932500157/0.06651579932500157/6.487651913863077E-6/,1/4/
30,2,162130886,23/23/204/204/47/47/47/23/204/204/,0.24356024434820578/0.24356024434820578/1.2921180204724763E-4/1.2921180204724763E-4/0.08960080658239788/0.08960080658239788/0.08960080658239788/0.24356024434820578/1.2921180204724763E-4/1.2921180204724763E-4/,0/1/7/
30,3,184191177,206/206/19/47/206/27/1024/19/47/27/,2.268212472432159E-5/2.268212472432159E-5/0.26081774756584175/0.0643168646918249/2.268212472432159E-5/0.1748313645552468/3.91777440248477E-23/0.26081774756584175/0.0643168646918249/0.1748313645552468/,2/7/
30,3,97587973,23/1024/1024/1024/1024/1024/1024/1024/1024/1024/,1.0/7.696636640914418E-19/7.696636640914418E-19/7.696636640914418E-19/7.696636640914418E-19/7.696636640914418E-19/7.696636640914418E-19/7.696636640914418E-19/7.696636640914418E-19/7.696636640914418E-19/,0/
30,3,118768700,19/1024/206/206/1024/206/1024/63/47/206/,0.736513706371665/1.1063259969200021E-22/6.405122314338379E-5/6.405122314338379E-5/1.1063259969200021E-22/6.405122314338379E-5/1.1063259969200021E-22/0.08160804484312906/0.18162204389263242/6.405122314338379E-5/,0/
30,0,19476507,46/46/46/46/46/46/46/46/,0.125/0.125/0.125/0.125/0.125/0.125/0.125/0.125/,0/1/2/3/4/5/6/7/
30,0,16090148,19/46/19/19/46/46/46/19/,0.19853240704976313/0.05146759295023681/0.19853240704976313/0.19853240704976313/0.05146759295023681/0.05146759295023681/0.05146759295023681/0.19853240704976313/,0/2/3/7/
30,0,13989137,19/19/46/19/19/46/46/19/,0.17307863043956753/0.17307863043956753/0.04486894926738741/0.17307863043956753/0.17307863043956753/0.04486894926738741/0.04486894926738741/0.17307863043956753/,0/1/3/4/7/
30,1,18498755,47/16/47/204/204/204/204/47/,0.10876575752571194/0.6736602933315875/0.10876575752571194/1.0608522819167607E-5/1.0608522819167607E-5/1.0608522819167607E-5/1.0608522819167607E-5/0.10876575752571194/,1/
30,1,19707652,204/204/47/204/204/204/204/204/,0.03000005286206839/0.03000005286206839/0.789999629965521/0.03000005286206839/0.03000005286206839/0.03000005286206839/0.03000005286206839/0.03000005286206839/,2/
30,1,16992197,204/204/47/204/204/204/204/204/,0.03000005286206839/0.03000005286206839/0.789999629965521/0.03000005286206839/0.03000005286206839/0.03000005286206839/0.03000005286206839/0.03000005286206839/,2/
30,2,22908052,47/204/47/47/204/204/19/47/,0.12412539350557789/4.8378116428946626E-5/0.12412539350557789/0.12412539350557789/4.8378116428946626E-5/4.8378116428946626E-5/0.5033532916284016/0.12412539350557789/,6/
30,2,16370130,23/19/47/19/23/19/19/23/,0.12214776950573647/0.14919162257741922/0.036790201173113615/0.14919162257741922/0.12214776950573647/0.14919162257741922/0.14919162257741922/0.12214776950573647/,1/3/5/6/
30,2,18712848,47/47/15/47/47/204/19/47/,0.055115508626272715/0.055115508626272715/0.4072515851606253/0.055115508626272715/0.055115508626272715/3.0182778452323445E-6/0.3171678534301659/0.055115508626272715/,2/
30,3,24562394,23/19/23/23/204/204/204/23/,0.19150649794217925/0.23390656479217264/0.19150649794217925/0.19150649794217925/2.248114637018135E-5/2.248114637018135E-5/2.248114637018135E-5/0.19150649794217925/,1/
30,3,20903625,204/204/47/204/204/204/204/204/,0.03000005286206839/0.03000005286206839/0.789999629965521/0.03000005286206839/0.03000005286206839/0.03000005286206839/0.03000005286206839/0.03000005286206839/,2/
30,3,21243019,19/19/19/23/19/19/47/23/,0.1452631473633934/0.1452631473633934/0.1452631473633934/0.11893140603530894/0.1452631473633934/0.1452631473633934/0.035821451112415/0.11893140603530894/,0/1/2/4/5/
30,0,617034250,95/39/6090/111433/6090/399/24182/6090/,0.19779653010780707/0.8021044823351708/1.608174581152567E-66/0.0/1.608174581152567E-66/9.89875570220308E-5/5.9557852319245506E-263/1.608174581152567E-66/,1/
30,0,487067406,19/5105/5105/111433/1543/111433/24182/111433/,1.0/3.6217064954361135E-111/3.6217064954361135E-111/0.0/8.067899487106749E-34/0.0/0.0/0.0/,0/
30,0,459811755,31/5105/5105/111433/1543/111433/24182/111433/,1.0/1.3714538980679236E-69/1.3714538980679236E-69/0.0/3.017072386838347E-21/0.0/0.0/0.0/,0/
30,2,871981293,43/23/39/2266168/8136/23/509500/21/,0.10119605540875307/0.2511751958316417/0.12137415439861537/0.0/1.7539460011211231E-161/0.2511751958316417/0.0/0.27507939852934815/,7/
30,2,838244587,31/21/96/401/28304/21/509500/20/,0.16796641511136573/0.2704141102156882/0.007602871114145314/3.744271186499706E-9/0.0/0.2704141102156882/0.0/0.28360248959884155/,1/5/7/
30,2,721882172,1550/39/336/32270/79/35/19/35/,2.4544715170215176E-34/0.15882033380423127/5.644598398562544E-8/0.0/0.021493994859129013/0.193983593760407/0.4317184273698418/0.193983593760407/,6/
30,4,628854756,19/19/39/111/19/23/18/18/,0.15935877303140786/0.15935877303140786/0.05561909154940404/0.0012574084677760909/0.15935877303140786/0.1291057426007361/0.16797071914393014/0.16797071914393014/,0/1/4/6/7/
30,4,371225030,111433/111433/39/111433/79/95/111433/111433/,0.0/0.0/0.6193958591361254/0.0/0.2278630025229032/0.1527411383409715/0.0/0.0/,2/
30,4,554690000,272/63/336/111433/19/27/336/273/,1.80085710002828E-6/0.062209482461240286/7.340690444724184E-8/0.0/0.5614414190055038/0.37634543783408403/7.340690444724184E-8/1.7130282628679273E-6/,4/
30,6,495237978,27/27/20/111433/5105/20/20/39/,0.14811401834974794/0.14811401834974794/0.20670976433833724/0.0/1.4257858569602032E-106/0.20670976433833724/0.20670976433833724/0.08364267028549242/,2/5/6/
30,6,445632183,1543/111433/39/111433/111/39/27/335/,1.3016454356287604E-24/0.0/0.276892112634619/0.0/0.021161836065693482/0.276892112634619/0.4250468396599308/7.0990051378396905E-6/,6/
